Italian,English
e ,And
non ,not
che ,that
di ,Of
la ,there
il ,the
un ,a
a ,to
per ,for
è ,is
in ,in
una ,a
mi ,me
sono ,I am
ho ,I have
l' ,L'
si ,yes
ha ,has
ma ,but
lo ,the
cosa ,what
con ,with
no ,no
le ,the
ti ,you
se ,self
da ,from
i ,the
come ,how
io ,I
ci ,there
hai ,you have
questo ,this
bene ,well
qui ,here
sei ,six
del ,of the
tu ,you
solo ,alone
mio ,my
al ,to the
me ,myself
tutto ,everything
c' ,there
te ,you
era ,was
della ,from the
mia ,my
fatto ,done
fare ,Do
essere ,to be
so ,I know
quando ,when
sì ,Yup
ora ,Now
lei ,she
gli ,the
ne ,neither
oh ,Oh
questa ,this
detto ,said
ok ,ok
va ,it goes
perche ,because
quello ,that
mai ,never
alla ,at the
o ,or
anche ,also
stato ,state
abbiamo ,we have
tutti ,everyone
dei ,of the
grazie ,thank you
chi ,who
sta ,is
molto ,very
più ,more
voglio ,I want
perché ,because
tuo ,your
beh ,well
sia ,be
nel ,in the
lui ,he
allora ,At that time
posso ,I can
piu ,more
ehi ,hey
prima ,first
tua ,your
suo ,his
niente ,nothing
qualcosa ,something
sai ,you know
siamo ,we are
un' ,a
cosi ,as
davvero ,really
ancora ,still 
hanno ,they have
stai ,you are
fa ,does
sua ,her
così ,like this
casa ,home
uno ,one
dove ,where is it
su ,on
vero ,real 
vuoi ,do you want
noi ,we
due ,two
quindi ,so
dire ,to say
d' ,d '
delle ,of the
quella ,that
sempre ,always
altro ,other
sto ,this
andare ,to go
ad ,to
po ,bit
loro ,They
devo ,I must
quel ,that
forse ,maybe
li ,there
proprio ,own
certo ,Certain
tempo ,weather
nella ,in the
poi ,then
vi ,you
credo ,I believe
vita ,life
cose ,what's this
sul ,on
quanto ,how much
puoi ,can
fuori ,outside
anni ,years
cui ,which
andiamo ,let's go
dell' ,of
parte ,part
visto ,view
qualcuno ,someone
all' ,at
lavoro ,work
voi ,you
ciao ,hi
dio ,God
volta ,turn
dopo ,after
adesso ,now
stata ,was
uomo ,man
padre ,father
devi ,you have to
bisogno ,need
gia ,already
amico ,friend
ed ,and
posto ,place
nessuno ,nobody
via ,Street
cos' ,so
fai ,do
signore ,man
meglio ,better
cazzo ,fuck
dai ,come on
dal ,from the
vuole ,wants
sembra ,it seems
giorno ,day
ogni ,Everything is fine
modo ,way
senza ,without
vedere ,see
dobbiamo ,we have to
signor ,Mr
qualche ,some
dispiace ,sorry
penso ,I think
ecco ,there
parlare ,speak
tra ,between
mamma ,mom
già ,already
sarebbe ,would be
dalla ,from the
troppo ,too
fosse ,is
possiamo ,We can
ce ,there is
nuovo ,new
male ,bad
madre ,mother
avete ,you have
tanto ,much
favore ,favor
successo ,success
vai ,Go
sulla ,on the
giusto ,right
sa ,know
miei ,my
aspetta ,wait up
avere ,have
altra ,other
farlo ,to do it
alle ,to
facendo ,doing
abbia ,have
momento ,moment
ero ,was
aveva ,had
ragazzi ,guys
deve ,needs to
persone ,people
nostro ,our
tipo ,guy
prego ,You are welcome
grande ,great
può ,can  
senti ,feel
appena ,just
potrebbe ,could
soldi ,money
dice ,He says
sapere ,know
tre ,three
oggi ,today
questi ,these
piace ,like it
idea ,idea
siete ,you are
ai ,to the
avevo ,I had
figlio ,son
accordo ,agreement
gente ,people
sicuro ,Safe
vieni ,Come
degli ,of the
guarda ,look
dentro ,inside
trovato ,found
queste ,these
caso ,case
forza ,force
dov' ,where to
tutte ,all
pensi ,think
signora ,lady
faccio ,I do
nome ,first name
avuto ,had
problema ,problem
altri ,other
puo ,can he
aver ,have
mondo ,world
tutta ,all
preso ,taken 
nulla ,nothing
nostra ,our
donna ,woman
stare ,to stay
basta ,enough
insieme ,together
faccia ,face
ragazza ,girl
subito ,right away
famiglia ,family
ragazzo ,boy
volevo ,I wanted
okay ,okay
sentito ,sense
ah ,Ah
stesso ,same
ragione ,reason
sarà ,Sara
tuoi ,your
capito ,understood
notte ,night
volte ,times
testa ,head
serve ,serve
tesoro ,treasure
sotto ,under
eh ,eh
suoi ,its
vado ,I'm going
sara ,will be
dato ,given
stiamo ,we are
bella ,beautiful
scusa ,excuse me
erano ,they were
pensavo ,I thought
avrei ,I would have
prendere ,take
buona ,good
porta ,brings
bello ,nice
moglie ,wife
vorrei ,I would like
storia ,history
succede ,It happens
morto ,died
cercando ,looking for
dici ,you say
persona ,person
pronto ,ready
meno ,less
dovuto ,due
avanti ,forward
capisco ,I understand
secondo ,second
venire ,to come
polizia ,police
lì ,there
avrebbe ,it would have
stanno ,they are
mentre ,while
letto ,read
fino ,until
dico ,I say
amici ,friends
fine ,end
aiuto ,Help
paura ,fear
fratello ,brother
stavo ,I was
uomini ,men
nell' ,in the'
domani ,tomorrow
facciamo ,let's make
abbastanza ,enough
capo ,head
amore ,love
nei ,in the
ucciso ,killed
state ,state
piano ,plan
macchina ,car
trovare ,find
comunque ,Anyway
vediamo ,we see
giorni ,days
nemmeno ,neither
mano ,but no
dall' ,from
presto ,soon
stati ,States
merda ,shit
far ,do
bambino ,baby
andato ,left
vedo ,I see
tornare ,return
quelle ,those
cio ,that is
primo ,first
vostro ,your
neanche ,not even
sera ,evening
giro ,tour
morte ,death
e' ,And'
qua ,here
pensato ,thought
buon ,good
anno ,year
mie ,my
diavolo ,devil
quasi ,almost
piacere ,pleasure
bel ,nice
dovrei ,I should
nessun ,no
contro ,versus
stessa ,same
felice ,happy
colpa ,guilt
punto ,point
andata ,outward
dovrebbe ,it should
vedi ,you see
quale ,which
chiesto ,asked
invece ,instead
perchè ,because
migliore ,improve
nostri ,our
finito ,finished
figlia ,daughter
dovresti ,should
papa ,Pope
almeno ,at least
sento ,I hear
quei ,those
col ,with the
ore ,hours
passato ,past
magari ,let's hope
minuti ,minutes
terra ,earth
vostra ,your
strada ,Street
sola ,lonely
credi ,believe
importante ,important
sue ,his
salve ,Hello
settimana ,week
perso ,lost
uscire ,go out
parlato ,spoke
papà ,Pope
stasera ,this evening
scusi ,excuse me
dollari ,dollars
occhi ,eyes
mani ,hands
ultima ,last
possibile ,possible
scuola ,school
significa ,it means
sapevo ,I knew
nelle ,in
potrei ,I could
stava ,was
bambini ,children
eri ,you was
importa ,it matters
indietro ,backwards
riesco ,I am able to
sangue ,blood
chiama ,who loves
messo ,put in order
piccolo ,little
traduzione ,translation
tardi ,late
cuore ,heart
marito ,husband
viene ,he comes
venuto ,coming
ieri ,yesterday
spero ,I hope
ricordi ,memories
quelli ,those
dovremmo ,we should
lasciato ,left
ascolta ,listens
difficile ,difficult
quell' ,that'
auto ,car
chiamato ,called
ciò ,that is
altre ,other
parlando ,speaking
pensare ,think
fantastico ,fantastic
fatta ,made
numero ,number
veramente ,truly
fanno ,they do
com' ,as
serio ,serious
possa ,can
fossi ,dive
entrare ,to come in
anch' ,too
qualsiasi ,any
pensa ,thinks
dicendo ,saying
acqua ,water
portato ,brought
stanza ,room
problemi ,problems
forte ,loud
nessuna ,none
lascia ,leaves
amo ,love you
roba ,stuff
agente ,agent
dietro ,behind
corpo ,body
pare ,it seems
sentire ,to hear
foto ,photo
telefono ,telephone
voleva ,He wanted
poco ,little
prendi ,take
piccola ,small
vicino ,near
quest' ,this
sacco ,sack
stia ,stia
capire ,understand
potuto ,could
cinque ,five
strano ,strange
tue ,your
andando ,going
donne ,women
sappiamo ,we know
bravo ,good boy
ragazze ,girls
festa ,party
senso ,sense
genere ,Genre
quattro ,four
dare ,give
attimo ,moment
sorella ,sister
pure ,mashed potato
probabilmente ,probably
film ,movie
parla ,speak out
ufficio ,office
verso ,towards
mesi ,months
farti ,make you
unica ,unique
morire ,to die
signorina ,Miss
vecchio ,old
domanda ,request
ben ,well
guerra ,war
dottore ,doctor
conosco ,I know
qual ,that
vivere ,to live
vista ,view
prova ,trial
nuova ,new
ricordo ,I remember
divertente ,fun
avessi ,had
sicura ,safe
paio ,pair
conto ,I count
perdere ,lose
dimmi ,tell me
farmi ,make me
figli ,children
mezzo ,half
lavorare ,to work
unico ,single
esattamente ,exactly
squadra ,squad
esatto ,exact
possono ,can
fate ,you do
faro ,lighthouse
sapete ,you know
dottor ,Doctor
parola ,word
piedi ,feet
sopra ,on
motivo ,reason
avevi ,you had
cavolo ,cabbage
capitano ,captain
finita ,finite
volete ,you want
siano ,they are
potresti ,you could
gioco ,game
perfetto ,perfect
be ,be
mente ,mind
mangiare ,to eat
resto ,rest
credere ,believe
fortuna ,fortune
tratta ,deals with
chiamo ,call
morta ,dead
là ,there
entrambi ,both of them
avresti ,you would have
passare ,to pass
cena ,dinner
the ,tea
sarei ,I would be
controllo ,control
affari ,business
spiace ,unpleasant
ultimo ,last
facile ,easy
farò ,lighthouse
buongiorno ,good morning
davanti ,front
tizio ,guy
dammi ,give me
sicurezza ,safety
dalle ,give her
quanti ,how many
dica ,say
matrimonio ,marriage
john ,John
vogliono ,they want
molti ,many
culo ,ass
fuoco ,fire
cercare ,search for
pistola ,pistol
potremmo ,we could
re ,king
mandato ,mandate
puttana ,whore
negli ,in
cioe ,that is
inizio ,Start
saranno ,they will be
causa ,cause
voglia ,wants
mettere ,to put
fammi ,do for me
uccidere ,kill
vogliamo ,we want
faremo ,we will do
però ,However
genitori ,parents
sesso ,sex
potete ,you can
ricevuto ,received
vivo ,I live
presidente ,president
città ,city
citta ,city
succedendo ,succeeding
ospedale ,hospital
fu ,was
agli ,to
scritto ,written
smettila ,stop that
vada ,go
attenzione ,Attention
sulle ,on
bere ,drinking
situazione ,situation
omicidio ,homocide
revisione ,revision
avesse ,had
ottimo ,optimal
cura ,treatment
durante ,during
provato ,tried
parole ,words
lasciare ,leave
dicono ,they say
new ,new
prossima ,next
nostre ,our
arrivato ,arrived
paese ,country
sull' ,on
andate ,go
chiunque ,whoever
capisci ,Do you understand
pace ,peace
immagino ,I imagine
musica ,music
tieni ,keep
oddio ,oh God
jack ,jack
libro ,book
eravamo ,we were
amica ,friend
diventare ,become
sui ,on
sbagliato ,mistaken
dirmi ,tell me
wow ,wow
farai ,you will do
entra ,come in
venuta ,coming
scelta ,choice
voluto ,wanted
portare ,bring
assolutamente ,absolutely
molte ,many
chiedo ,I ask
torna ,back
scoperto ,discovery
fatti ,facts
settimane ,weeks
dirlo ,be
alcuni ,some
prigione ,prison
giornata ,day
piuttosto ,rather
buono ,good
aspettare ,wait
parli ,you speak
arrivare ,arrive
lungo ,long
vede ,see
avvocato ,lawyer
deciso ,decided
sarai ,you will be
messaggio ,message
dormire ,sleep
dieci ,ten
stupido ,stupid
usare ,to use
dello ,of the
cielo ,sky
guardare ,to watch
bagno ,bath
aria ,air
voce ,voice
tornato ,got back
vuol ,vuol
giù ,below
conosci ,you know
benissimo ,very good
prendo ,I take
verita ,truth
cane ,dog
restare ,remain
chiamare ,call
poter ,being able
campo ,field
luce ,light
sam ,Sam
qualunque ,whatever
giovane ,young
signori ,gentlemen
fra ,between
provare ,try
minuto ,minute
saperlo ,know it
lontano ,distant
gruppo ,group
continua ,continues
arrivo ,I arrive
gran ,large
realta ,reality
cerca ,search for
passo ,step
domande ,requests
insomma ,in conclusion
bambina ,child
pensando ,think
capelli ,hair
trova ,find
onore ,honor
aiutare ,to help
verità ,truth
prove ,evidence
n' ,n '
funziona ,it works
alto ,high
giu ,below
credevo ,I believed
futuro ,future
preoccuparti ,worry
idiota ,idiot
cibo ,food
fretta ,rush
cara ,Dear
finalmente ,finally
morti ,death
odio ,hate
solito ,usual
brava ,good
é ,And
incidente ,accident
allo ,at the
dev' ,DE
intenzione ,intention
speciale ,special
cambiare ,change
vera ,real
camera ,room
oltre ,beyond
semplice ,simple
dirti ,tell you
riguardo ,regard
finche ,as long as
aspetto ,appearance
viaggio ,travel
chiaro ,clear
chiamata ,call
bocca ,mouth
permesso ,permit
piacerebbe ,would like to
dovete ,you have to
giocare ,to play
ordine ,order
circa ,about
ovviamente ,obviously
finire ,to finish
piu' ,more'
natale ,Christmas
i' ,the'
direi ,I'd say
vostri ,your
occhio ,eye
pronta ,ready
scusami ,Excuse me
mattina ,morning
cercato ,looked for
crede ,you think
sistema ,system
york ,York
fondo ,background
resta ,remain
devono ,must
prossimo ,next
pronti ,ready
saputo ,known
scusate ,excuse me
potere ,power
milioni ,millions
soltanto ,only
armi ,weapons
arriva ,he arrives
fermo ,stopped
mese ,month
chiedere ,ask
cristo ,Christ
torno ,back
venite ,come
controllare ,check
appuntamento ,appointment
s ,s
chiami ,who do you Love
vecchia ,old woman
detective ,detective
pero ,However
metti ,you put
grado ,grade
vanno ,they go
nave ,ship
iniziato ,started
perche' ,because'
informazioni ,information
libero ,free
stronzo ,asshole
grandi ,big
pezzo ,piece
segreto ,secret
colpo ,blow
faceva ,he did
piacciono ,like
porto ,port
oppure ,or
completamente ,completely
vederti ,see you
lista ,list
venga ,come
veloce ,fast
assassino ,killer
sapeva ,He knew
finché ,as long as
tom ,Tom
ormai ,at this point
interessa ,interest
generale ,general
giusta ,right
tenere ,hold
pazzo ,crazy
vittima ,victim
giuro ,I swear
consiglio ,Advice
michael ,Michael
alcune ,some
semplicemente ,simply
zio ,uncle
centro ,center
specie ,species
mille ,one thousand
sogno ,dream
lasci ,leave
carino ,cute
doveva ,where you go
brutto ,ugly
nello ,in
aspetti ,aspect
incredibile ,incredible
sole ,Sun
glielo ,it
legge ,law
spesso ,often
guardate ,watch
cambiato ,changed
scena ,scene
volevi ,you wanted
charlie ,Charlie
lasciami ,leave me
gentile ,gentle
rispetto ,respect
ve ,ve
fara ,will make
zitto ,Shut up
incontro ,I find
farà ,will make
servono ,need
rapporto ,report
errore ,mistake
mike ,Mike
sanno ,they know
pagare ,to pay
sorpresa ,surprise
occhiata ,look
risposta ,reply
presa ,Jack
servizio ,service
medico ,doctor
usato ,used
hey ,Hey
caro ,expensive
schifo ,disgust
avrai ,you will have
dolore ,ache
saresti ,would you be
personale ,personnel
quali ,Which
saro ,I'll be
peggio ,worse
addio ,goodbye
addosso ,on
dovevo ,I had to
poteva ,he could
pieno ,full
diverso ,different
vestiti ,clothes
sparato ,shot
realtà ,reality
do ,do
sarò ,I'll be
normale ,normal
fame ,hunger
programma ,plan
nonna ,Grandmother
sappia ,know
sembrava ,It seemed
migliori ,best
notizie ,news
avevamo ,we had
riesci ,are able
posizione ,position
vengo ,I come
rimanere ,to remain
compagnia ,company
proposito ,purpose
farci ,make us
joe ,Joe
ricorda ,remember
frank ,Frank
prende ,he takes
tante ,many
avevano ,they had
arrivando ,arriving
chiuso ,Closed
terribile ,terrible
ritardo ,delay
attento ,watch out
bar ,Cafe
sembri ,you look
fallo ,just do it
dimenticato ,forgotten
bisogna ,must
impossibile ,impossible
cioè ,that is
studio ,study
stessi ,same
arma ,weapon
conosce ,know
uscita ,exit
ii ,II
fin ,fin
disse ,She said
david ,David
vattene ,get out
quante ,how much it is
guai ,trouble
intorno ,environment
video ,video
manca ,it lacks
esserci ,there
grosso ,big
tanti ,many
dolce ,sweet
chiave ,key
cervello ,brain